code,name,regions_count,users_count,wines_count,wineries_count,population
it,Italie,563,4270717,274658,42399,58870763
fr,France,1306,5973301,422503,67553,64756584
us,États-Unis,362,12273684,204060,28145,339996564
es,Espagne,152,2264396,102662,18026,47519628
pt,Portugal,93,1123535,39847,5834,10247605
au,Australie,120,1022965,90954,13946,26439112
hu,Hongrie,29,102235,16605,1923,10156239
za,Afrique du Sud,112,269649,30857,4227,60414495
de,Allemagne,236,2549989,164533,13643,83294633
cl,Chili,41,326757,41191,5785,19629590
md,Moldavie,9,13583,5055,418,3435931
ar,Argentine,41,629532,36121,5339,45773884
gr,Grèce,140,95693,9581,1294,45773884
il,Israël,20,150549,5435,529,9174520
ro,Roumanie,27,228185,6841,686,19892812
hr,Croatie,22,64223,5880,980,4008617
ch,Suisse,73,1601799,33656,3849,8796669
