id,wines_names,score
1611255,Cabernet Sauvignon,4.8
66294,Special Selection Cabernet Sauvignon,4.7
3879,Cabernet Sauvignon (Signature),4.6
66284,Cabernet Sauvignon,4.6
87360,Beckstoffer To Kalon Vineyard Cabernet Sauvignon,4.6
94692,Cabernet Sauvignon Coeur De Vallée,4.6
1145391,Cabernet Sauvignon,4.6
2653222,CASK 23 Cabernet Sauvignon,4.6
2816852,Cabernet Sauvignon,4.6
3075039,Au Paradis Cabernet Sauvignon,4.6
7865667,Lithology Cabernet Sauvignon,4.6
94912,Cabernet Sauvignon,4.5
1107322,FAY Cabernet Sauvignon,4.5
1107342,S.L.V. Cabernet Sauvignon,4.5
1135642,One Point Five Cabernet Sauvignon,4.5
1424847,Blueline Estate Cabernet Sauvignon,4.5
1672854,Howell Mountain Cabernet Sauvignon,4.5
16578,Cabernet Sauvignon,4.4
61274,Cabernet Sauvignon,4.4
1107336,ARTEMIS Cabernet Sauvignon,4.4
1135641,Alexander Valley Cabernet Sauvignon,4.4
1138019,Georges De Latour Private Reserve Cabernet Sauvignon,4.4
1144227,Cabernet Sauvignon,4.4
1226177,Domus Aurea Cabernet Sauvignon,4.4
4426928,Altagracia Cabernet Sauvignon,4.4
7476568,Freienfeld Cabernet Sauvignon Riserva,4.4
5261,Chateau Buena Vista Cabernet Sauvignon Napa Valley,4.3
1294734,Rapture Cabernet Sauvignon,4.3
3990250,Rutherford Cabernet Sauvignon,4.3
