wines,score,review_amount,price,toplist_rank,country_iso,cities,latitude,longitude
Gitana Lupi Rezerva 2017,4.6,1155,36.55,15,MD,Moldova,44.72,21.66
Tenuta Ulisse Limited Edition 10 Vendemmie,4.5,9453,34.2,5,IT,Montepulciano,43.1,43.1
Pago de Carraovejas Tinto 2020,4.5,2129,42.95,1,ES,Burgos,42.34,-3.7
San Marzano 60 Sessantanni Old Vines Primitivo di Manduria 2018,4.4,1748,24.75,17,IT,Manduria,40.4,17.63
Guerrieri Guerriero della Terra 2019,4.4,1803,27.4,1,IT,Civitanova Marche,43.23,13.18
Casa Ermelinda Freitas Dona Ermelinda Grande Reserva 2017,4.4,483,29.95,8,PT,Setubal,38.52,-8.89
Emilio Moro Malleolus 2020,4.4,625,35.95,18,ES,Burgos,42.34,-3.7
Arzuaga Reserva Ribera del Duero 2018,4.4,840,39.55,1,ES,Burgos,42.34,-3.7
Vilafonté Series M 2014,4.4,273,48.0,7,ZA,Paarl,-33.72,18.96
Tommasi Amarone della Valpolicella Classico 2018,4.4,1570,49.8,4,IT,Sant'Ambrogio di Valpolicella,45.52,10.84
